R,G,B,A
31,92,184,255
32,92,185,255
32,93,185,255
33,94,186,255
33,94,186,255
34,95,187,255
34,96,187,255
35,96,188,255
35,97,188,255
36,98,189,255
36,98,189,255
37,99,190,255
37,100,190,255
38,100,191,255
38,101,191,255
39,102,192,255
39,102,192,255
40,103,193,255
41,104,193,255
41,104,194,255
42,105,194,255
42,106,195,255
43,106,195,255
43,107,196,255
44,108,196,255
44,108,197,255
45,109,197,255
45,110,198,255
46,110,198,255
46,111,199,255
47,112,199,255
47,112,200,255
48,113,200,255
48,114,201,255
49,114,201,255
49,115,202,255
50,116,202,255
50,116,203,255
51,117,203,255
51,118,204,255
52,118,204,255
52,119,205,255
53,120,205,255
53,120,206,255
54,121,206,255
54,122,207,255
55,122,207,255
55,123,208,255
56,124,208,255
57,125,209,255
58,125,209,255
59,126,209,255
60,127,209,255
61,128,210,255
63,129,210,255
64,130,210,255
65,131,211,255
66,132,211,255
67,132,211,255
69,133,212,255
70,134,212,255
71,135,212,255
72,136,213,255
73,137,213,255
75,138,213,255
76,139,214,255
77,139,214,255
78,140,214,255
79,141,214,255
81,142,215,255
82,143,215,255
83,144,215,255
84,145,216,255
85,146,216,255
87,146,216,255
88,147,217,255
89,148,217,255
90,149,217,255
91,150,218,255
93,151,218,255
94,152,218,255
95,153,219,255
96,153,219,255
97,154,219,255
99,155,219,255
100,156,220,255
101,157,220,255
102,158,220,255
103,159,221,255
105,160,221,255
106,160,221,255
107,161,222,255
108,162,222,255
109,163,222,255
111,164,223,255
112,165,223,255
113,166,223,255
114,167,224,255
115,167,224,255
117,168,224,255
118,169,224,255
119,170,225,255
120,171,225,255
121,172,225,255
123,173,226,255
124,174,226,255
125,174,226,255
126,175,227,255
127,176,227,255
129,177,227,255
130,178,228,255
131,179,228,255
132,180,228,255
134,181,229,255
135,181,229,255
136,182,229,255
137,183,229,255
138,184,230,255
140,185,230,255
141,186,230,255
142,187,231,255
143,187,231,255
144,188,231,255
146,189,231,255
147,190,232,255
148,191,232,255
149,192,232,255
150,193,233,255
152,193,233,255
153,194,233,255
154,195,234,255
155,196,234,255
156,197,234,255
158,198,234,255
159,199,235,255
160,199,235,255
161,200,235,255
162,201,236,255
164,202,236,255
165,203,236,255
166,204,237,255
167,205,237,255
168,205,237,255
170,206,237,255
171,207,238,255
172,208,238,255
173,209,238,255
174,210,239,255
176,211,239,255
177,211,239,255
178,212,239,255
179,213,240,255
180,214,240,255
182,215,240,255
183,216,241,255
184,217,241,255
185,217,241,255
186,218,242,255
188,219,242,255
189,220,242,255
190,221,242,255
191,222,243,255
192,223,243,255
194,223,243,255
195,224,244,255
196,225,244,255
197,226,244,255
198,227,245,255
200,228,245,255
201,229,245,255
202,229,245,255
203,230,246,255
204,231,246,255
206,232,246,255
207,233,247,255
208,234,247,255
209,235,247,255
211,236,248,255
211,235,247,255
211,235,246,255
212,235,245,255
212,235,244,255
213,235,243,255
213,235,242,255
214,235,241,255
214,235,240,255
215,235,239,255
215,235,239,255
216,235,238,255
216,235,237,255
217,235,236,255
217,235,235,255
218,235,234,255
218,235,233,255
218,235,232,255
219,235,231,255
219,235,231,255
220,235,230,255
220,235,229,255
221,234,228,255
221,234,227,255
222,234,226,255
222,234,225,255
223,234,224,255
223,234,223,255
224,234,223,255
224,234,222,255
225,234,221,255
225,234,220,255
226,234,219,255
226,234,218,255
226,234,217,255
227,234,216,255
227,234,215,255
228,234,215,255
228,234,214,255
229,234,213,255
229,234,212,255
230,234,211,255
230,234,210,255
231,233,209,255
231,233,208,255
232,233,207,255
232,233,207,255
233,233,206,255
233,233,205,255
233,233,204,255
234,233,203,255
234,233,202,255
235,233,201,255
235,233,200,255
236,233,199,255
236,233,199,255
237,233,198,255
237,233,197,255
238,233,196,255
238,233,195,255
239,233,194,255
239,233,193,255
240,233,192,255
240,233,191,255
241,233,191,255
241,232,189,255
241,232,188,255
241,231,186,255
241,231,185,255
241,230,183,255
241,230,182,255
241,229,180,255
241,229,179,255
241,228,177,255
242,228,176,255
242,227,174,255
242,227,173,255
242,226,171,255
242,226,170,255
242,225,168,255
242,225,167,255
242,224,165,255
242,224,164,255
243,223,162,255
243,223,161,255
243,222,159,255
243,222,158,255
243,221,156,255
243,221,155,255
243,220,153,255
243,220,152,255
243,219,150,255
244,219,149,255
244,218,147,255
244,218,146,255
244,217,144,255
244,217,143,255
244,216,141,255
244,216,140,255
244,215,138,255
244,215,137,255
245,214,135,255
245,214,134,255
245,213,132,255
245,213,131,255
245,212,129,255
245,212,128,255
245,211,126,255
245,211,125,255
245,210,123,255
246,210,122,255
246,209,120,255
246,209,119,255
246,208,117,255
246,208,116,255
246,207,114,255
246,207,113,255
246,206,111,255
246,206,110,255
247,205,108,255
247,205,107,255
247,204,105,255
247,204,104,255
247,203,102,255
247,203,101,255
247,202,99,255
247,202,98,255
247,201,96,255
248,201,95,255
248,200,93,255
248,200,92,255
248,199,90,255
248,199,89,255
248,198,87,255
248,198,86,255
248,197,84,255
248,197,83,255
248,196,81,255
249,196,80,255
249,195,78,255
249,195,77,255
249,194,75,255
249,194,74,255
249,193,72,255
249,193,71,255
249,192,69,255
249,192,68,255
250,191,66,255
250,191,65,255
250,190,63,255
250,190,62,255
